Part,EDA,ECG,Respiration,Eyetracker,Game,Mouse Pos,Mouse Button,Keyboard,Face video,Face features,Depth video,Game video,Game resolution,Game audio,Game speech,Annot vlc,Annot arsl,NOTES,Consent_Q1,Consent_Q2,Consent_Q3,Consent_Q4,Consent_Q5,Consent_Q6
s3p3,0,1,1,3,0,0,3,3,1,1,3,3,1920x1080,,,0,3,face video wears mask,3,3,3,3,3,3
s3p4,0,0,2,3,0,0,3,3,1,1,1,3,1920x1080,,,3,0,face video wears mask and face cut-off on bottom,3,3,3,3,3,3
s4p3,3,3,3,3,3,0,3,3,3,3,3,3,1280x1024,,,0,3,,3,3,3,3,3,3
s4p4,0,0,0,0,3,0,0,0,0,0,0,0,1920x1080,,,0,0,,3,3,3,3,3,3
s5p1,0,3,3,3,0,0,3,3,2,2,3,3,1920x1080,,,0,0,face video wears mask partly,3,3,3,3,3,3
s5p2,0,2,3,3,3,0,3,3,1,1,3,3,1920x1080,,,3,0,face video wears mask,3,3,3,3,3,3
s6p1,0,0,0,3,3,0,3,3,1,1,3,3,1920x1080,,,3,0,face video wears mask,3,3,3,0,3,3
s6p2,0,3,3,0,3,0,3,3,1,1,3,3,1920x1080,,,0,3,face video wears mask,3,3,3,0,3,3
s6p3,0,3,3,3,3,0,3,3,3,3,3,3,1280x1024,,,3,0,,3,3,3,3,3,3
s6p4,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s7p1,0,2,3,3,3,0,3,3,3,3,3,3,1280x1024,,,0,3,can see ECG r-peaks but signal has low quality,3,3,3,3,3,3
s7p2,0,2,3,3,3,0,3,3,3,3,3,3,1280x1024,,,0,3,,3,3,3,3,3,3
s8p1,3,2,2,3,3,0,0,0,3,3,3,3,1280x1024,,,0,3,respiration signal seems has significant heart rate artifacts,3,3,3,3,3,3
s8p2,0,3,3,2,3,0,0,0,2,2,2,3,1920x1080,,,3,0,parts of face are cut-off in video gamevideo not in game at start,3,3,3,3,3,3
s8p3,1,3,3,2,3,0,0,0,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s8p4,3,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,,3,3,0,0,3,3
s9p1,1,1,3,3,3,0,3,3,2,2,3,3,1280x1024,,,3,0,face video wears mask partly eda has lots of artifacts ecg can see r-peaks but low quality,3,3,3,3,3,3
s9p2,0,3,3,3,3,0,3,3,2,2,3,3,1024x768,,,3,0,face video wears mask partly,3,3,3,3,3,3
s9p3,1,3,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,eda has high frequency noise,3,3,3,3,3,3
s9p4,3,3,3,3,3,0,3,3,2,2,3,3,1920x1080,,,0,3,face video wears mask partly,3,3,3,3,3,3
s10p1,3,3,3,3,3,0,3,3,0,0,0,0,1920x1080,,,0,3,,3,3,3,3,3,3
s10p2,3,3,3,3,3,0,3,3,0,0,0,0,1920x1080,,,3,0,,3,3,3,3,3,3
s11p1,3,1,3,3,3,0,3,3,1,1,1,3,1600x900,,,0,3,face video wears mask and face cut-off on bottom,3,3,3,0,3,3
s11p2,3,3,3,3,3,0,3,3,2,2,3,3,1920x1080,,,3,0,face turns around a lot,3,3,3,3,3,3
s11p3,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda has many artifacts and is low quality,3,3,3,3,3,3
s11p4,0,2,3,3,3,0,3,0,3,3,3,3,1920x1080,,,3,0,ecg upside-down,3,3,3,3,3,3
s12p1,3,2,3,3,3,0,3,3,2,2,2,3,1280x960,,,0,3,Face video parts of face are cut-off occasionally,3,3,3,3,3,3
s12p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s12p3,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s12p4,0,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s13p3,2,2,2,2,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s13p4,2,2,2,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s14p3,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s14p4,3,3,1,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,respiration has heart rate artifacts,3,3,3,3,3,3
s15p1,0,0,0,3,3,0,3,3,0,0,0,3,1920x1080,,,3,0,ecg upside-down,3,3,3,0,3,3
s15p2,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s16p1,0,3,3,0,3,0,3,3,2,2,2,3,1920x1080,,,3,0,Face video parts of face are cut-off occasionally,3,3,3,3,3,3
s16p2,1,0,3,3,3,0,3,3,2,2,2,3,1280x960,,,3,0,Face video parts of face are cut-off eda has artifacts,3,3,3,3,3,3
s16p3,2,2,2,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s16p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s17p1,0,0,1,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,all physio too noisy,3,3,3,3,3,3
s17p2,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s17p3,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda has artifacts,3,3,3,3,3,3
s18p1,0,3,3,3,3,0,3,3,0,0,0,3,1920x1080,,,0,0,"respiration signal has minor heart rate artifacts, ecg upside-down",3,3,3,3,3,3
s18p2,1,2,3,3,3,0,3,3,0,0,0,3,1920x1080,,,0,0,eda has artifacts can see ecg r-peaks but signal has low quality,3,3,3,3,3,3
s19p1,1,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda low precision,3,3,3,3,3,3
s19p2,1,2,3,3,3,0,3,3,3,3,3,0,1920x1080,,,0,0,eda noisy ecg can see r-peaks but very low quality gamevideo captured desktop not game,3,3,3,3,3,3
s19p3,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,respiration has minor heart rate artifacts,3,3,3,3,3,3
s19p4,1,2,2,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,respiration has significant heart rate artifacts,3,3,3,3,3,3
s20p1,1,3,1,3,3,0,3,3,3,3,3,3,1280x960,,,3,0,eda very low quality respiration very noisy,3,3,3,3,3,3
s20p2,2,2,3,3,3,0,3,3,3,3,3,3,1280x960,,,3,0,ecg can see r-peaks but very low quality eda has high freq noise,3,3,3,3,3,3
s20p3,2,2,3,3,3,0,3,3,3,3,3,3,1280x1024,,,3,0,eda low precision ecg upside-down,3,3,3,3,3,3
s20p4,2,2,3,3,3,0,3,3,3,3,3,3,1280x960,,,0,3,eda has artifacts ecg upside-down,3,3,3,3,3,3
s21p1,2,2,3,3,3,0,3,3,3,3,3,3,1280x1024,,,3,0,eda low precision ecg upside-down,3,3,3,3,3,3
s21p2,3,2,3,3,3,0,3,3,0,0,0,3,1920x1080,,,3,0,ecg upside-down and somewhat low quality,0,0,0,0,0,0
s21p3,2,3,2,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,respiration has heart rate artifacts eda low precision,3,3,3,3,3,3
s21p4,3,3,3,3,3,0,3,3,3,3,3,3,1280x960,,,0,3,,3,3,3,3,3,3
s22p1,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s22p2,2,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,ecg can see r-peaks but very low quality eda has artifacts,3,3,3,3,3,3
s22p3,3,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,0,3,ecg can see r-peaks but very noisy respiration has minor heart rate artifacts eda has minor artifacts that can be removed with low pass filter,3,3,3,3,3,3
s22p4,2,3,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s23p1,0,0,0,3,3,0,3,0,3,3,3,3,1920x1080,,,0,3,RECHECK SCRIPTS,3,3,3,3,3,3
