Part,EDA,ECG,Respiration,Eyetracker,Game,Mouse Pos,Mouse Button,Keyboard,Face video,Face features,Depth video,Game video,Game resolution,Game audio,Game speech,Annot vlc,Annot arsl,NOTES,Consent_Q1,Consent_Q2,Consent_Q3,Consent_Q4,Consent_Q5,Consent_Q6
s36p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda may need smoothing,3,3,3,3,3,3
s36p2,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg upside-down and low precision eda needs smoothing,3,3,3,3,3,3
s36p3,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda low precision,3,3,3,3,3,3
s36p4,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,Face video missing a good chunk of timings eda low precision,3,3,3,3,3,3
s37p1,3,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s37p2,2,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,0,3,Ecg upside-down and low precision eda low precision,3,3,3,3,3,3
s37p3,2,3,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,eda low precision,3,3,3,3,3,3
s37p4,3,3,3,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s38p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,eda may have artifacts,3,3,3,3,3,3
s38p2,0,2,3,3,3,0,3,3,0,0,0,3,1920x1080,,,3,0,ecg low precision respiration has heart rate artifacts,3,0,0,0,3,0
s38p3,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,Respiration has small heart rate artifacts eda has many artifacts arousal super trend,3,3,3,3,3,3
s38p4,1,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg lower quality respiration has heart rate artifacts eda has many artifacts arousal super trend,3,3,3,3,3,3
s39p1,1,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down eda has many artifacts,3,3,3,3,3,3
s39p2,1,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg upside-down eda has many artifacts,3,3,3,3,3,3
s39p3,0,0,0,3,3,0,3,3,0,0,0,3,1920x1080,,,3,0,chunks of lost data for many streams,3,3,3,3,3,3
s39p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda needs smoothing ecg upside-down?,3,3,3,3,3,3
s40p1,0,3,3,3,3,0,3,3,2,2,2,3,1920x1080,,,0,3,"Face video face cut-off eda low precision and bad start, lower face in video cut off",3,3,3,3,3,3
s40p2,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down and low precision,3,3,3,3,3,3
s40p3,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg upside-down and low precision,3,3,3,3,3,3
s40p4,1,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg a bit weird and low precision eda with artifacts,3,3,3,3,3,3
s41p1,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg lower precision eda with some artifacts,3,3,3,3,3,3
s41p2,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg upside-down eda may need filtering,3,3,3,3,3,3
s41p3,1,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down?,3,3,3,3,3,3
s41p4,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg lowish precision,3,3,3,3,3,3
s42p1,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down,3,3,3,3,3,3
s42p2,3,2,3,3,3,0,3,3,3,3,3,3,1280x960,,,3,0,respiration has some heart rate artifacts,3,3,3,3,3,3
s42p3,0,0,0,3,3,0,3,3,3,3,3,0,1920x1080,,,0,0,,3,3,3,0,3,3
s42p4,3,3,3,3,3,0,3,3,3,3,3,0,1920x1080,,,0,0,respiration has some heart rate artifacts,3,3,3,3,3,3
s43p1,0,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s43p2,1,3,3,3,3,0,3,3,3,3,3,3,1280x960,,,0,3,respiration has some heart rate artifacts,3,3,3,3,3,3
s43p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,Eda with artifacts ecg low quality and upside-down? Obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
